part,sortorder,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20
A,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,99,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,22.0101,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,22.0101,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
